book_id,book_title,unit_price
B001,The Hunger Games,25
B002,The Outsiders,50
B003,To Kill a Mockingbird,100
B004,Pride and Prejudice,20
B005,Twilight,30
B006,The Book Thief,50
B007,Animal Farm,40
B008,The Chronicles of Narnia,30
B009,Fahrenheit 451,50
B010,Gone with the Wind,25
B011,The Fault in Our Stars,30
B012,The Lightning Thief,35
B013,The Giving Tree,40
B014,Wuthering Heights,45
B015,The Da Vinci Code,60
B016,Memoirs of a Geisha,100
B017,Life of Pi,80
B018,The Little Prince,55
B019,Jane Eyre,60
B020,The Pillars of the Earth,60
